id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,entry_information,status
280,2021-11-04 15:37:10.007966,,,,,,f,,,{},participant,a2ec10f8d5c8c1b5a791393c3afadc88,mturk,280,31IBVUNM9UNFDEF18AGYF0CNXW6VFP,280:31IBVUNM9UNFDEF18AGYF0CNXW6VFP,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 15:40:08.757197,1.2,1.4,{},approved
98,2021-11-04 14:43:19.76784,,,,,,f,,,{},participant,e0175ab4296f7c311bda992bf1e430e5,mturk,98,32XVDSJFP1LCMX9G6N008LZLXZJ2MP,98:32XVDSJFP1LCMX9G6N008LZLXZJ2MP,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:47:59.977901,1.2,1.2,{},approved
97,2021-11-04 14:43:15.096892,,,,,,f,,,{},participant,b8556d6ce897ae00826003143fe8b748,mturk,97,3BF51CHDTXYJY95R03G9XSYAJF1H0C,97:3BF51CHDTXYJY95R03G9XSYAJF1H0C,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:46:48.315668,1.2,1.15,{},approved
84,2021-11-04 14:37:21.647004,,,,,,f,,,{},participant,9f1674e63060a466557e9fc7c8800d9e,mturk,84,30OG32W0SWZAZV6WB8A1N1XAZSINEB,84:30OG32W0SWZAZV6WB8A1N1XAZSINEB,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:41:24.471135,1.2,1.15,{},approved
109,2021-11-04 14:51:21.572152,,,,,,f,,,{},participant,5b8e2cdf3bfcf97b443f7b3f175ab900,mturk,109,30OG32W0SWZAZV6WB8A1N1XAZSLNEE,109:30OG32W0SWZAZV6WB8A1N1XAZSLNEE,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:54:20.781998,1.2,1.45,{},approved
104,2021-11-04 14:47:11.770176,,,,,,f,,,{},participant,856db926d12abb9d70e34fbc02524152,mturk,104,3JBT3HLQFAQ8DB95NA16C03NNDSZPP,104:3JBT3HLQFAQ8DB95NA16C03NNDSZPP,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:57:14.243929,,,{},abandoned
60,2021-11-04 14:33:01.043175,,,,,,f,,,{},participant,b4875f6697d0faefed395871496c5e9b,mturk,60,3634BBTX0QIAR8V193HF0BMTPU3IF8,60:3634BBTX0QIAR8V193HF0BMTPU3IF8,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:57:17.931291,,,{},abandoned
101,2021-11-04 14:44:34.573033,,,,,,f,,,{},participant,f2e83ef8baade59dc40307959731396c,mturk,101,32EYX73OY2XC3PVAUF6N03ONMD1RUK,101:32EYX73OY2XC3PVAUF6N03ONMD1RUK,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:47:06.022314,1.2,1.3,{},approved
106,2021-11-04 14:47:59.015653,,,,,,f,,,{},participant,a1c895fc1d31fa6a34fc5670e31cb504,mturk,106,3LQ8PUHQFNGU54M74T5F3WY659GIH6,106:3LQ8PUHQFNGU54M74T5F3WY659GIH6,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:50:30.448543,1.2,1.35,{},approved
135,2021-11-04 15:01:22.252535,,,,,,f,,,{},participant,648b042841c1885acc237bc142e000ce,mturk,135,3QEMNNSB2ZNG4409Z6ISLMTZZ1CD7X,135:3QEMNNSB2ZNG4409Z6ISLMTZZ1CD7X,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 15:04:21.350125,1.2,1.25,{},approved
182,2021-11-04 15:17:22.1679,,,,,,f,,,{},participant,37080fdf2b7a5f21237fed780c3e2ecb,mturk,182,39O5D9O87VGOYTT8XYKROZZ19ZLC3Y,182:39O5D9O87VGOYTT8XYKROZZ19ZLC3Y,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 15:23:12.367913,1.2,1.2,{},approved
122,2021-11-04 14:58:53.63225,,,,,,f,,,{},participant,837df18dab73793f74f7d13b7f5e9f29,mturk,122,33SA9F9TRZI0MPFA391OJKA1S4QWEF,122:33SA9F9TRZI0MPFA391OJKA1S4QWEF,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 15:05:14.192803,1.2,1.25,{},approved
199,2021-11-04 15:19:20.894111,,,,,,f,,,{},participant,7a061ef06fab4269e9367f30488006be,mturk,199,3BDCF01OGZIIH0K2ZW6GHCL1C9TYL5,199:3BDCF01OGZIIH0K2ZW6GHCL1C9TYL5,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 15:26:47.007891,,,{},returned
108,2021-11-04 14:50:40.059568,,,,,,f,,,{},participant,ee2cacc9314d7580cd1d281a2005f407,mturk,108,3I02618YA2URRCFVHN2YV8O8LVDPUQ,108:3I02618YA2URRCFVHN2YV8O8LVDPUQ,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:53:30.058685,1.2,1.35,{},approved
