,condition,condition_replication,net_decision_index,chose_utility
287,SOC:N-U,8,7,8
288,SOC:N-U,8,8,6
289,SOC:N-U,8,9,4
290,SOC:N-U,9,0,5
291,SOC:N-U,9,1,1
292,SOC:N-U,9,2,4
293,SOC:N-U,9,3,7
294,SOC:N-U,9,4,3
295,SOC:N-U,9,5,5
296,SOC:N-U,9,6,4
297,SOC:N-U,9,7,6
298,SOC:N-U,9,8,5
299,SOC:N-U,9,9,2
300,SOC:W-U,0,0,8
301,SOC:W-U,0,1,3
302,SOC:W-U,0,2,5
303,SOC:W-U,0,3,8
304,SOC:W-U,0,4,6
305,SOC:W-U,0,5,3
306,SOC:W-U,0,6,7
307,SOC:W-U,0,7,5
308,SOC:W-U,0,8,8
309,SOC:W-U,0,9,2
310,SOC:W-U,1,0,6
311,SOC:W-U,1,1,5
312,SOC:W-U,1,2,1
313,SOC:W-U,1,3,7
314,SOC:W-U,1,4,5
315,SOC:W-U,1,5,6
316,SOC:W-U,1,6,4
317,SOC:W-U,1,7,7
318,SOC:W-U,1,8,6
319,SOC:W-U,1,9,5
320,SOC:W-U,2,0,6
321,SOC:W-U,2,1,1
322,SOC:W-U,2,2,3
323,SOC:W-U,2,3,4
324,SOC:W-U,2,4,7
325,SOC:W-U,2,5,3
326,SOC:W-U,2,6,1
327,SOC:W-U,2,7,7
328,SOC:W-U,2,8,7
329,SOC:W-U,2,9,8
330,SOC:W-U,3,0,6
331,SOC:W-U,3,1,2
332,SOC:W-U,3,2,4
333,SOC:W-U,3,3,7
334,SOC:W-U,3,4,3
335,SOC:W-U,3,5,6
336,SOC:W-U,3,6,1
337,SOC:W-U,3,7,8
338,SOC:W-U,3,8,7
339,SOC:W-U,3,9,1
340,SOC:W-U,4,0,8
341,SOC:W-U,4,1,7
342,SOC:W-U,4,2,5
343,SOC:W-U,4,3,4
344,SOC:W-U,4,4,6
345,SOC:W-U,4,5,5
346,SOC:W-U,4,6,7
347,SOC:W-U,4,7,6
348,SOC:W-U,4,8,8
349,SOC:W-U,4,9,4
350,SOC:W-U,5,0,8
351,SOC:W-U,5,1,2
352,SOC:W-U,5,2,1
353,SOC:W-U,5,3,4
354,SOC:W-U,5,4,6
355,SOC:W-U,5,5,7
356,SOC:W-U,5,6,5
357,SOC:W-U,5,7,4
358,SOC:W-U,5,8,5
359,SOC:W-U,5,9,6
360,SOC:W-U,6,0,7
361,SOC:W-U,6,1,7
362,SOC:W-U,6,2,3
363,SOC:W-U,6,3,7
364,SOC:W-U,6,4,6
365,SOC:W-U,6,5,6
366,SOC:W-U,6,6,0
367,SOC:W-U,6,7,7
368,SOC:W-U,6,8,6
369,SOC:W-U,6,9,6
370,SOC:W-U,7,0,5
371,SOC:W-U,7,1,3
372,SOC:W-U,7,2,2
373,SOC:W-U,7,3,2
374,SOC:W-U,7,4,8
375,SOC:W-U,7,5,8
376,SOC:W-U,7,6,3
377,SOC:W-U,7,7,6
378,SOC:W-U,7,8,5
379,SOC:W-U,7,9,5
380,SOC:W-U,8,0,7
381,SOC:W-U,8,1,5
382,SOC:W-U,8,2,3
383,SOC:W-U,8,3,8
384,SOC:W-U,8,4,6
385,SOC:W-U,8,5,1
386,SOC:W-U,8,6,5
387,SOC:W-U,8,7,6
388,SOC:W-U,8,8,6
389,SOC:W-U,8,9,4
390,SOC:W-U,9,0,8
391,SOC:W-U,9,1,6
392,SOC:W-U,9,2,4
393,SOC:W-U,9,3,6
394,SOC:W-U,9,4,5
395,SOC:W-U,9,5,4
396,SOC:W-U,9,6,5
397,SOC:W-U,9,7,6
398,SOC:W-U,9,8,6
399,SOC:W-U,9,9,4
